"classifier_set","ft_group","ecoregion","owner","treatment","age","merch_vol_m3_ha","foliage_kgC_m2","other_above_kgC_m2","total_above_kgC_m2"
"Mixedwood/ME_APH/NIPF/untreated","Mixedwood","ME_APH","NIPF","untreated",120,89.676,0.0206,0.074,0.411
"Mixedwood/ME_APH/NIPF/untreated","Mixedwood","ME_APH","NIPF","untreated",125,89.713,0.0206,0.074,0.4112
"Mixedwood/ME_APH/NIPF/untreated","Mixedwood","ME_APH","NIPF","untreated",130,89.738,0.0206,0.074,0.4113
"Mixedwood/ME_APH/NIPF/untreated","Mixedwood","ME_APH","NIPF","untreated",135,89.757,0.0206,0.0741,0.4114
"Mixedwood/ME_APH/NIPF/untreated","Mixedwood","ME_APH","NIPF","untreated",140,89.77,0.0206,0.0741,0.4115
"Mixedwood/ME_APH/NIPF/untreated","Mixedwood","ME_APH","NIPF","untreated",145,89.779,0.0206,0.0741,0.4115
"Mixedwood/ME_APH/NIPF/untreated","Mixedwood","ME_APH","NIPF","untreated",15,9.673,0.0021,0.0077,0.0427
"Mixedwood/ME_APH/NIPF/untreated","Mixedwood","ME_APH","NIPF","untreated",150,89.786,0.0206,0.0741,0.4116
"Mixedwood/ME_APH/NIPF/untreated","Mixedwood","ME_APH","NIPF","untreated",20,20.51,0.0046,0.0164,0.0912
"Mixedwood/ME_APH/NIPF/untreated","Mixedwood","ME_APH","NIPF","untreated",25,32.92,0.0074,0.0265,0.1472
"Mixedwood/ME_APH/NIPF/untreated","Mixedwood","ME_APH","NIPF","untreated",30,44.936,0.0101,0.0363,0.2019
"Mixedwood/ME_APH/NIPF/untreated","Mixedwood","ME_APH","NIPF","untreated",35,55.44,0.0125,0.045,0.2501
"Mixedwood/ME_APH/NIPF/untreated","Mixedwood","ME_APH","NIPF","untreated",40,64.037,0.0145,0.0522,0.2899
