STATECD,UNITCD,COUNTYCD,PLOT,sdimax_metric_mean,sdimax_metric_median,sdimax_english_mean,sdimax_english_median,PLT_CN,CONDID,FORTYPCD,OWNGRPCD,SITECLCD
9,1,3,137,439.229203172312,428.195604168885,177.749733623309,173.284594990448,445525734489998,1,903,40,6
9,1,3,147,1089.79297042037,1065.08341192831,441.02352211035,431.023919606255,1285453472290487,2,503,40,6
9,1,3,161,585.965247227902,699.436529841738,237.131697653572,283.051891740922,247050485010661,1,516,40,5
9,1,3,165,1000.175009043,979.613557257983,404.756423639572,396.435500187081,567481566126144,1,519,30,5
9,1,3,174,1106.57504233211,1041.0094657082,447.814984951195,421.281540235802,719393263290487,1,805,40,5
9,1,3,189,1007.88085972454,1035.67325910692,407.874870446141,419.122054265639,814949764290487,1,801,30,5
9,1,3,193,731.154023991292,897.79148141473,295.88750489133,363.323284331209,814949770290487,1,708,30,5
9,1,3,198,648.27103941749,631.805160952943,262.345954549291,255.682450643338,119774195010661,3,519,40,6
9,1,3,200,767.443587388393,760.369897320022,310.573368628424,307.710748118892,814949796290487,1,515,40,6
9,1,3,214,644.710159201537,633.440487023311,260.904917602569,256.344243555321,944325478290487,1,962,30,4
9,1,3,220,213.770764748904,249.473927450886,86.5099501948691,100.958506014818,503649925126144,1,999,40,6
9,1,3,230,878.242363341805,865.082712639057,355.412037754396,350.086516613964,567481564126144,1,503,30,5
9,1,3,239,536.984744530304,486.238815560568,217.309993531093,196.773846818418,1285453419290487,2,999,40,4
9,1,3,242,661.740557749321,670.849341327091,267.796874657119,271.483068204559,445525698489998,2,519,40,6
9,1,3,244,820.833733135652,807.402099047336,332.179591794241,326.744002894231,567481563126144,1,401,30,5
9,1,3,288,1181.67829754444,1183.19388863038,478.20819084875,478.821528736718,503649783126144,1,515,30,4
9,1,3,291,960.071177421162,935.028676215951,388.526980477389,378.392640851658,247050392010661,1,608,40,6
9,1,3,304,911.270746189497,1021.04589797466,368.778148684144,413.202571849414,1285453442290487,1,401,30,5
9,1,3,311,1268.41602837506,1199.54255308779,513.309701492578,485.437597821864,719393265290487,1,503,30,5
