scientific_name,common_name,CE,S,LAC,Score,Cluster,C_Rank
Quercus gravesii,Graves oak,57.75,56.14,53.46,55.78,D,6
Cupressus forbesii,Tecate cypress,33.0,70.26,62.22,55.16,D,7
Fraxinus texensis,Texas ash,49.5,53.38,62.11,54.99,D,8
Pinus remota,papershell pinyon pine,49.5,49.27,61.66,53.48,D,9
Quercus graciliformis,slender oak,49.75,52.96,57.21,53.31,D,10
Abies fraseri,Fraser fir,33.25,69.24,56.97,53.15,D,11
Quercus oblongifolia,Mexican blue oak,33.0,62.38,64.05,53.14,D,12
Fraxinus profunda,pumpkin ash,41.25,59.07,57.49,52.6,D,13
Cupressus macnabiana,Macnabs cypress,24.75,66.0,65.96,52.24,D,14
Juniperus flaccida,drooping juniper,33.0,63.83,59.64,52.16,D,15
Cupressus bakeri,Baker cypress,24.75,66.95,64.63,52.11,D,16
Quercus arizonica,Arizona white oak,41.25,59.15,54.76,51.72,D,17
Pinus balfouriana,foxtail pine,49.5,51.24,52.94,51.23,D,18
Pinus engelmannii,Apache pine,33.0,57.55,62.38,50.98,D,19
Pinus clausa,sand pine,41.5,58.46,52.68,50.88,D,20
Colubrina elliptica,soldierwood,33.0,60.39,59.26,50.88,D,21
Avicennia germinans,black-mangrove,41.5,57.35,53.16,50.67,D,22
Cupressus arizonica,Arizona cypress,41.25,53.5,56.08,50.28,D,23
Quercus engelmannii,Engelmann oak,24.75,70.75,55.32,50.27,D,24
Laguncularia racemosa,white-mangrove,49.75,48.98,51.49,50.07,D,25
Pinus leiophylla,Chihuahuan pine,33.0,55.9,57.12,48.67,D,26
Abies magnifica,California red fir,33.0,56.61,56.11,48.57,D,27
Persea borbonia,redbay,33.25,41.5,70.68,48.48,D,28
Rhizophora mangle,American mangrove,41.25,54.04,49.6,48.3,D,29
Coccoloba diversifolia,tietongue,24.75,65.46,54.67,48.29,D,30
Carnegiea gigantea,saguaro,16.5,69.4,56.38,47.43,D,31
Pinus washoensis,Washoe pine,16.5,57.76,67.76,47.34,D,32
Pinus muricata,bishop pine,24.75,61.59,55.63,47.33,D,33
Larix lyallii,subalpine larix,41.25,52.69,46.73,46.89,D,34
Cupressus goveniana,Gowen cypress,0.0,78.34,62.22,46.85,D,35
Chamaecyparis thyoides,Atlantic whitecedar,33.25,59.52,47.29,46.69,D,36
Arbutus arizonica,Arizona madrone,33.0,53.39,52.21,46.2,D,37
Quercus virginiana,live oak,33.0,56.27,47.9,45.72,D,38
Conocarpus erectus,buttonwood-mangrove,41.5,41.63,53.47,45.53,D,39
Prunus nigra,Canada plum,33.25,50.17,52.95,45.45,D,40
Robinia neomexicana,New Mexico locust,41.25,46.56,47.18,45.0,D,41
Salix bonplandiana,Bonpland willow,33.0,49.58,49.39,43.99,D,42
Fraxinus velutina,velvet ash,24.75,61.76,43.77,43.43,D,43
Amyris elemifera,sea torchwood,16.5,62.69,50.62,43.27,D,44
Olneya tesota,desert ironwood,24.75,49.96,54.79,43.17,D,45
Sideroxylon salicifolium,white bully,16.5,45.75,63.54,41.93,D,46
Pinus aristata,Bristlecone pine (Rocky Mountain),24.75,40.89,57.93,41.19,D,47
Acer glabrum,Rocky Mountain maple,24.75,47.8,48.84,40.47,D,48
Metopium toxiferum,Florida poisontree,0.0,47.81,70.37,39.39,D,49
Salix scouleriana,Scoulers willow,24.75,44.5,48.38,39.21,D,50
Torreya californica,California torreya (nutmeg),8.25,50.04,58.23,38.84,D,51
Picea rubens,red spruce,8.25,42.03,63.85,38.05,D,52
Crataegus dilatata,broadleaf hawthorn,100.0,43.64,26.42,56.69,E1,1
