cycle,sim,scenario,n_conditions,mean_ba,mean_vol,mean_carbon,total_tpa,n_harvested,harvest_rate,n_planted,plant_rate,gross_growth,mortality,harvest_removals,net_change,gr_ratio,climate_rcp
11,7,No_harvest,23308,68.94273771543179,3112.9864464667726,60589.94282793839,2544.359249987381,0,0,0,0,375.13989395905185,1340.5313650381952,0,-965.3914710791433,Inf,4.5
12,7,No_harvest,23289,66.00584049894469,3137.209448019384,59533.37590876429,3720.378521350012,0,0,0,0,372.1295428945589,1419.668580161485,0,-1047.539037266926,Inf,4.5
13,7,No_harvest,23273,63.10159320733853,3167.6042715730864,58324.06901962217,5782.002054975837,0,0,0,0,365.08421841884575,1456.2823913769346,0,-1091.198172958089,Inf,4.5
14,7,No_harvest,23264,60.486445719826456,3198.450871969737,57400.30385443175,9320.92152051689,0,0,0,0,364.2501780736871,1501.0792675909534,0,-1136.8290895172663,Inf,4.5
15,7,No_harvest,23256,58.09624883016605,3235.5001229395125,56464.70641880055,15586.66518591846,0,0,0,0,365.30246313212297,1551.224065711985,0,-1185.921602579862,Inf,4.5
1,8,No_harvest,26668,70.84382264895862,1378.383286141366,36848.35945746664,505.72308299550775,0,0,0,0,427.66848062304865,95.88344519289794,0,331.78503543015074,Inf,4.5
2,8,No_harvest,24049,79.18584803547513,1694.8263069493162,44181.21277823174,540.7209376574086,0,0,0,0,510.98769954451996,276.36899341954364,0,234.6187061249763,Inf,4.5
3,8,No_harvest,23770,84.10218675799644,2005.1207136461398,50482.51993043573,579.3497254181253,0,0,0,0,492.27569076391427,414.81480484227944,0,77.46088592163483,Inf,4.5
4,8,No_harvest,23692,85.98279701439668,2292.3056733216035,55583.255446016825,617.0595660385463,0,0,0,0,458.69708765706014,578.4708435170072,0,-119.77375585994707,Inf,4.5
5,8,No_harvest,23621,85.33925531071014,2519.353894721955,58972.9210355266,674.2196877929662,0,0,0,0,442.04466180047655,746.962111391524,0,-304.91744959104744,Inf,4.5
6,8,No_harvest,23562,83.53558978859377,2683.9998203689065,60870.55834993092,773.4741113427575,0,0,0,0,416.97309508022636,883.0183908430084,0,-466.0452957627821,Inf,4.5
7,8,No_harvest,23512,80.71065333602468,2794.198579002571,61583.77764423538,927.6716231296127,0,0,0,0,411.9714943659738,997.1554053257246,0,-585.1839109597508,Inf,4.5
8,8,No_harvest,23470,77.56328980150512,2880.758613560435,61658.1185938182,1191.5198711704163,0,0,0,0,399.9449085016412,1090.4004793986737,0,-690.4555708970325,Inf,4.5
9,8,No_harvest,23434,74.30125069774694,2945.143935157381,61344.94868923338,1611.7482253569858,0,0,0,0,398.0423484955201,1170.5985172168557,0,-772.5561687213356,Inf,4.5
10,8,No_harvest,23410,71.6118245453109,3024.0653704189735,61259.35633090189,2258.084963763559,0,0,0,0,383.1023862828698,1254.8946285906372,0,-871.7922423077674,Inf,4.5
11,8,No_harvest,23397,68.79774941617634,3105.4157947514395,61046.02447830683,3345.60030275414,0,0,0,0,378.18008944210084,1329.789198748043,0,-951.6091093059422,Inf,4.5
12,8,No_harvest,23384,65.83140248634092,3152.556969846111,60187.37627355172,5172.018969832833,0,0,0,0,372.8337188071287,1421.503156792332,0,-1048.6694379852033,Inf,4.5
13,8,No_harvest,23370,62.91521366056143,3215.766481068099,59279.97598085697,8392.517563115383,0,0,0,0,371.8317273441693,1479.8959737918306,0,-1108.0642464476614,Inf,4.5
14,8,No_harvest,23362,59.861131788879675,3254.6893526274143,58246.38464973768,13906.70496822683,0,0,0,0,364.19517513531287,1552.276406149242,0,-1188.081231013929,Inf,4.5
15,8,No_harvest,23358,56.637377436683735,3240.53956198315,56644.12109766781,24215.00707602208,0,0,0,0,366.4483946281798,1607.7399754833098,0,-1241.29158085513,Inf,4.5
1,9,No_harvest,26478,70.83067745934947,1373.58457574172,36749.44812861282,517.1340989068116,0,0,0,0,421.4616412744886,97.50593958476121,0,323.9557016897274,Inf,4.5
2,9,No_harvest,23822,78.99369796946131,1684.2765164268953,43997.30733799652,554.2964744216375,0,0,0,0,511.022820521258,277.8174263542484,0,233.20539416700956,Inf,4.5
3,9,No_harvest,23562,84.0338071831726,1998.4046901509855,50410.06138806615,596.8909545056188,0,0,0,0,490.2042109245108,414.9126085505552,0,75.29160237395558,Inf,4.5
4,9,No_harvest,23458,85.32660567675546,2271.6576773012343,55238.17623452957,639.8194401808196,0,0,0,0,462.94539597069127,574.1617288332117,0,-111.2163328625204,Inf,4.5
5,9,No_harvest,23386,84.47573604541859,2486.3755786073107,58473.19637182748,708.8924188283786,0,0,0,0,442.7372790737652,735.4045878881799,0,-292.6673088144147,Inf,4.5
6,9,No_harvest,23320,82.15572500487728,2609.7595434506266,59943.59537793136,812.7304736869277,0,0,0,0,424.3865735995586,867.4180567156293,0,-443.0314831160707,Inf,4.5
